method,seed,domain,label_index,label_name,source_only_auroc,candidate_auroc,delta_auroc
harder_gate_clipping,31415,nih,4,pleural_effusion,0.8659899876211452,0.8656050788944091,-0.00038490872673613286
harder_gate_clipping,31415,nih,5,pneumonia,0.8137677484787018,0.8000760649087221,-0.01369168356997974
harder_gate_clipping,31415,nih,6,pneumothorax,0.8570518350615446,0.8568714019092083,-0.0001804331523362901
harder_gate_clipping,31415,chexpert,0,atelectasis,0.861525974025974,0.8641233766233767,0.0025974025974027093
harder_gate_clipping,31415,chexpert,1,cardiomegaly,0.739280652019844,0.7784372785258682,0.03915662650602414
harder_gate_clipping,31415,chexpert,2,consolidation,0.9050203527815468,0.9020051258857229,-0.003015226895823897
harder_gate_clipping,31415,chexpert,3,edema,0.861845972957084,0.8526748971193416,-0.009171075837742348
harder_gate_clipping,31415,chexpert,4,pleural_effusion,0.9043703637501117,0.9131289659486996,0.008758602198587928
harder_gate_clipping,31415,chexpert,5,pneumonia,0.8987831858407079,0.904867256637168,0.006084070796460117
harder_gate_clipping,31415,chexpert,6,pneumothorax,0.7793141592920354,0.7754424778761062,-0.0038716814159291957
topk_labelwise_trust_region_k1,31415,nih,0,atelectasis,0.797664274658787,0.7904530744336569,-0.00721120022513011
topk_labelwise_trust_region_k1,31415,nih,1,cardiomegaly,0.8679439098370982,0.867953600604704,9.690767605707862e-06
topk_labelwise_trust_region_k1,31415,nih,2,consolidation,0.8085547868351461,0.8032094546971824,-0.005345332137963732
topk_labelwise_trust_region_k1,31415,nih,3,edema,0.9023303347553803,0.7302230514194722,-0.17210728333590808
topk_labelwise_trust_region_k1,31415,nih,4,pleural_effusion,0.8659899876211452,0.8638230940484082,-0.0021668935727370275
topk_labelwise_trust_region_k1,31415,nih,5,pneumonia,0.8137677484787018,0.8001485076789336,-0.013619240799768173
topk_labelwise_trust_region_k1,31415,nih,6,pneumothorax,0.8570518350615446,0.8425664360505438,-0.014485399011000766
topk_labelwise_trust_region_k1,31415,chexpert,0,atelectasis,0.861525974025974,0.8547077922077924,-0.006818181818181612
topk_labelwise_trust_region_k1,31415,chexpert,1,cardiomegaly,0.739280652019844,0.7367115520907158,-0.002569099929128238
topk_labelwise_trust_region_k1,31415,chexpert,2,consolidation,0.9050203527815468,0.9050203527815468,0.0
